"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name"
"ENSG00000147689.16",6257.30195407139,6.7356749629118,0.236050837374058,9.7976075919357e-181,4.32143078057508e-176,"FAM83A"
"ENSG00000183010.17",3613.05367444914,3.66866265481267,0.133121656455009,1.35043424424378e-169,2.97818016054302e-165,"PYCR1"
"ENSG00000165312.6",1098.83383385985,-2.1135978579299,0.0812427911796969,6.40655449622947e-150,9.41912997217311e-146,"OTUD1"
"ENSG00000272620.2",2784.3455779061,6.24380328998988,0.256264496561699,1.09866653007323e-132,1.2114721160485e-128,"AFAP1-AS1"
"ENSG00000116016.14",26990.0058314036,-2.70960340472041,0.111319768184682,4.74591547082736e-132,4.18656187343565e-128,"EPAS1"
"ENSG00000135604.10",805.366065920256,-3.04875669276542,0.125870903884784,3.21030444476558e-131,2.35994830242126e-127,"STX11"
"ENSG00000235387.5",65.1126212449218,-2.7059852866078,0.111604676338109,4.782501926978e-131,3.01345446418884e-127,"SPAAR"
"ENSG00000261371.6",11808.3655007963,-2.31201188571032,0.0954868668801037,2.45170845100376e-130,1.35171880810528e-126,"PECAM1"
"ENSG00000175832.13",1973.14047290278,3.82018199985892,0.159953741758824,1.37550619715479e-128,6.74105020421181e-125,"ETV4"
"ENSG00000162062.15",266.941345941806,3.48880485640538,0.146523465184773,1.59032410841552e-127,7.01444254498831e-124,"TEDC2"
"ENSG00000183856.11",1342.55466045067,3.5801261797453,0.151294291044759,4.14304101779295e-126,1.66124645610722e-122,"IQGAP3"
"ENSG00000131747.15",5264.42818108063,3.82134718608691,0.161881802205313,1.00540926083509e-125,3.69546552230444e-122,"TOP2A"
"ENSG00000170989.10",1756.30313228874,-2.8408561241001,0.12053417870639,3.65991883156446e-124,1.24175415310626e-120,"S1PR1"
"ENSG00000204949.9",209.595214859247,6.54384800769881,0.278208911182996,6.03169918713682e-124,1.90028682890745e-120,"FAM83A-AS1"
"ENSG00000179913.11",2090.66630471529,4.31499032107502,0.184570457810133,1.98687282414531e-123,5.84233331030516e-120,"B3GNT3"
"ENSG00000102760.13",3345.85332345736,-2.8646836680998,0.12246147266316,2.16295181378147e-122,5.96258222815372e-119,"RGCC"
"ENSG00000139567.13",2206.41975167903,-2.55607111895406,0.109251533791126,4.41205638872512e-122,1.14472100669117e-118,"ACVRL1"
"ENSG00000213853.10",14431.4513827774,-2.71804424898361,0.11735416743569,7.17696124982466e-120,1.75863461025564e-116,"EMP2"
"ENSG00000010319.7",706.070423949245,-3.206910482608,0.139108108518373,1.97912905457508e-119,4.59439185316542e-116,"SEMA3G"
"ENSG00000182010.11",2068.93189877137,-4.03687202922069,0.176757700571366,4.76986632496898e-118,1.05192246997703e-114,"RTKN2"
"ENSG00000286042.1",1283.2932846971,7.70313318726241,0.337564404226471,2.84386700057477e-117,5.97306865687387e-114,"LCAL1"
"ENSG00000120156.22",941.959510289975,-3.23179788479038,0.141725988192974,5.72978667365546e-117,1.14874409461328e-113,"TEK"
"ENSG00000186193.9",446.473026079697,3.76976964126207,0.166103914934292,1.62151258237721e-116,3.10956762917007e-113,"SAPCD2"
"ENSG00000070778.13",1153.60115831281,-2.43681712645512,0.107019354821457,1.10174604624044e-115,2.02477970256363e-112,"PTPN21"
"ENSG00000122679.8",1094.85507128462,-3.21011394252092,0.14236211733664,1.98056379913958e-114,3.49426909954598e-111,"RAMP3"
"ENSG00000090889.12",839.020697364044,3.78154107194155,0.168394680146809,3.53385392728054e-114,5.99491135271395e-111,"KIF4A"
"ENSG00000077152.11",826.416831459082,3.28500565521465,0.147240552543644,3.31445599435444e-112,5.41447076085153e-109,"UBE2T"
"ENSG00000132622.11",424.634229339175,-2.77911948364596,0.124256854671605,4.57071148875041e-112,7.20001327265408e-109,"HSPA12B"
"ENSG00000157654.19",6105.86885340633,-2.49856881404114,0.111761140095375,1.11819897091731e-111,1.70070351759483e-108,"PALM2AKAP2"
"ENSG00000254726.3",1302.82024921684,4.13179499070156,0.186580343556864,2.93071711518694e-111,4.30883799331835e-108,"MEX3A"
"ENSG00000168309.18",1698.05849071651,-4.51989639994296,0.204198463937766,5.4426867179569e-111,7.74388977641694e-108,"FAM107A"
"ENSG00000143320.9",7890.96644432343,5.51015506592999,0.249364917232515,6.77742775133856e-110,9.34162518213406e-107,"CRABP2"
"ENSG00000128165.9",742.546244868253,3.42730566250184,0.156112187464194,5.80043488548312e-109,7.75272065133345e-106,"ADM2"
"ENSG00000137648.19",5364.69617372534,4.7752132131842,0.218010781398588,1.43430985758962e-108,1.86067955555016e-105,"TMPRSS4"
"ENSG00000117650.13",677.009333918192,3.70076634976907,0.169413261813888,3.23410345021555e-108,4.07561716796163e-105,"NEK2"
"ENSG00000131477.11",908.480362879285,-2.85175088763811,0.129955367603499,4.34420613971053e-108,5.32249722789478e-105,"RAMP2"
"ENSG00000118193.12",438.760025349104,3.71976237952018,0.170432291587949,4.74041262370607e-108,5.65095620523794e-105,"KIF14"
"ENSG00000169744.13",979.915039237992,-2.57419733854909,0.117219941029964,6.23279687270162e-108,7.2344729385329e-105,"LDB2"
"ENSG00000123485.12",686.022272830896,3.81382797508738,0.174921495772426,6.60807372073267e-108,7.47339250257323e-105,"HJURP"
"ENSG00000144452.15",587.946105419655,5.34593156536537,0.244513732726164,9.44344917839347e-108,1.0413055322785e-104,"ABCA12"
"ENSG00000164855.16",1878.97168385087,3.09980671802294,0.141940755922567,2.04268092917759e-107,2.19747628642039e-104,"TMEM184A"
"ENSG00000151718.16",1994.56360961994,-2.34770880423238,0.107332834887935,6.62446413984371e-107,6.95679142419254e-104,"WWC2"
"ENSG00000158402.20",195.601458080835,3.6514790110722,0.168324150031128,9.7666502543343e-107,1.00180847155331e-103,"CDC25C"
"ENSG00000276043.5",681.146908847943,3.31991307339372,0.152889845482921,1.52399344341865e-106,1.52769951838333e-103,"UHRF1"
"ENSG00000066279.18",984.59299920189,3.70166960800081,0.17166709271011,1.47524845135448e-105,1.44597296541982e-102,"ASPM"
"ENSG00000123500.10",2765.54875267295,4.5860511392867,0.213148215460294,4.61426560936008e-105,4.42437854852272e-102,"COL10A1"
"ENSG00000080031.10",729.90667131441,5.14150941152081,0.239936390377746,8.57573204399231e-104,8.04786836732699e-101,"PTPRH"
"ENSG00000099953.10",6271.1419995695,5.46126924352033,0.254660047705904,9.47200590609742e-104,8.70378676042164e-101,"MMP11"
"ENSG00000136160.17",1512.26964993833,-3.47258521688843,0.16245628500796,1.45645182870691e-103,1.31101471038318e-100,"EDNRB"
"ENSG00000011426.11",2010.28034704674,3.73482484847554,0.175056065481204,1.86602678074936e-103,1.64609686437024e-100,"ANLN"
"ENSG00000126787.13",726.647669886449,3.6409153277529,0.170638256922771,2.16294427114421e-103,1.87060750916387e-100,"DLGAP5"
"ENSG00000135052.16",13074.1463453725,2.61531782608712,0.121787238063257,2.21663291973053e-103,1.88017361904912e-100,"GOLM1"
"ENSG00000117724.13",2336.17130411511,3.45683205849447,0.161935632781138,2.80664193781056e-103,2.33570860284925e-100,"CENPF"
"ENSG00000154133.15",1264.11013919322,-2.83524124163843,0.132505314748736,6.54867859038095e-103,5.34893641825801e-100,"ROBO4"
"ENSG00000117399.14",1513.02828183805,3.72640532507369,0.17519825879567,7.65434385875948e-103,6.13836626506008e-100,"CDC20"
"ENSG00000105227.16",1111.91400510637,-3.33100807699997,0.156270763789977,7.98950760884961e-103,6.29273593042018e-100,"PRX"
"ENSG00000072163.20",1194.57241892318,-2.798847409265,0.131012664070838,1.50383741201796e-102,1.14361649537717e-99,"LIMS2"
"ENSG00000164932.13",3128.39134769819,3.75611386967608,0.176873553587792,1.48156733192095e-102,1.14361649537717e-99,"CTHRC1"
"ENSG00000179776.19",3096.6166255798,-2.54359379953346,0.119260328559588,6.02985666704761e-102,4.50777776294015e-99,"CDH5"
"ENSG00000186871.7",206.019971439607,3.26548495874486,0.153821030562846,6.20714985791856e-102,4.56297931305356e-99,"ERCC6L"
"ENSG00000227066.2",484.708553318777,5.99579884116552,0.282195503565232,9.2581230522393e-102,6.69423005680522e-99,"Z98257.1"
"ENSG00000175063.17",1678.80749930533,4.13845264406698,0.195844599250367,1.0328132034258e-101,7.34746644572612e-99,"UBE2C"
"ENSG00000143228.13",558.960884867996,3.6687372608079,0.173580087199848,1.47957683145294e-101,1.03586817944277e-98,"NUF2"
"ENSG00000154721.15",708.934717436097,-2.49742651252275,0.117400983422221,2.17354798628774e-101,1.4979481411124e-98,"JAM2"
"ENSG00000142945.13",926.632577729291,3.53450632097358,0.167425008589894,3.4381795673854e-101,2.3330428642872e-98,"KIF2C"
